"Name";"Idx";"Razdel";"Kod";"Nomdescr";"global_id";
"Наименование";"Индекс";"Код раздела";"Код";"Описание";"global_id";
"Услуги, оказываемые молодежными объединениями";"S.94.99.15";"S";"94.99.15";"Эта группировка включает: - услуги, оказываемые объединениями молодежи и детей; - услуги, оказываемые студенческими объединениями, клубами Эта группировка не включает: - услуги по предоставлению жилья, оказываемые студенческими общежитиями, см. 55.90.11";"273497091";
"Услуги молодежных общественных объединений";"S.94.99.15.110";"S";"94.99.15.110";"";"273497093";
"Услуги детских общественных объединений";"S.94.99.15.120";"S";"94.99.15.120";"";"273497095";
"Услуги студенческих общественных объединений";"S.94.99.15.130";"S";"94.99.15.130";"";"273497096";
"Услуги, оказываемые объединениями по проведению культурных и развлекательных мероприятий";"S.94.99.16";"S";"94.99.16";"Эта группировка включает: - услуги, предоставляемые клубами по проведению культурных или развлекательных мероприятий, такими как поэтические, литературные кружки, клубы любителей книги, любителей истории, садоводства, клубы кинои фотолюбителей, клубы любителей музыки и живописи, любителей ремесел, коллекционеров, карнавальные клубы и т. д. Эта группировка не включает: - услуги, предоставляемые профессиональными художественными группами и организациями, см. 90.02.1; - услуги, предоставляемые спортивными клубами, см. 93.12.10";"273497099";
"Услуги, оказываемые прочими гражданскими и общественными организациями";"S.94.99.17";"S";"94.99.17";"Эта группировка включает: - услуги, оказываемые объединениями автомобилистов; - услуги, оказываемые обществами потребителей; - услуги, оказываемые объединениями, создаваемыми с целью установления социальных контактов, такими как клубы деловых людей и т. д.";"273497102";
"Услуги, оказываемые прочими общественными организациями и прочими некоммерческими организациями, не включенные в другие группировки";"S.94.99.19";"S";"94.99.19";"Эта группировка включает: - услуги, оказываемые объединениями домовладельцев и объединениями жильцов (за исключением защиты общественных интересов); - услуги, оказываемые организациями, направленные на достижение общественных благ, не включенные в другие группировки Эта группировка не включает: - услуги, предоставляемые профессиональными объединениями, см. 94.12.10";"273497106";
"Услуги, оказываемые прочими общественными организациями и прочими некоммерческими организациями, кроме религиозных и политических организаций";"S.94.99.19.190";"S";"94.99.19.190";"";"273497118";
"Услуги по предоставлению стипендии или пособия, оказываемые членскими организациями";"S.94.99.2";"S";"94.99.2";"";"273497120";
"Услуги по предоставлению стипендии или пособия, оказываемые членскими организациями";"S.94.99.20";"S";"94.99.20";"Эта группировка включает: - услуги по предоставлению стипендии или пособия, оказываемые членскими организациями или фондами, в основном, для финансирования деятельности, связанной с образованием, научными исследованиями или общими общественными или социальными интересами Эта группировка не включает: - услуги по предоставлению кредита, см. 64.19.2, 64.92.1; - услуги благотворительного сбора средств для социальной работы, см. 88.99.19";"273497122";
